iso_a3,country,year,Female,Male,Total,male_avg,female_avg,gap
THA,Thailand,2013,822.988,964.063,903.075,964.063,822.988,141.075
TLS,Timor-Leste,2013,523.421,480.857,493.236,480.857,523.421,-42.564
TUR,Turkiye,2013,1231.312,1289.695,1270.353,1289.695,1231.312,58.383
GBR,United Kingdom of Great Britain and Northern Ireland,2013,3089.802,4326.712,3803.174,4326.712,3089.802,1236.91
USA,United States of America,2013,4310.688,5867.904,5115.831,5867.904,4310.688,1557.216
URY,Uruguay,2013,1339.739,1839.155,1596.217,1839.155,1339.739,499.416
VNM,Viet Nam,2013,229.103,304.406,269.62,304.406,229.103,75.303
ARG,Argentina,2014,999.889,1279.576,1153.768,1279.576,999.889,279.687
BOL,Bolivia (Plurinational State of),2014,456.743,574.191,527.954,574.191,456.743,117.448
BIH,Bosnia and Herzegovina,2014,605.253,679.689,648.03,679.689,605.253,74.436
BRA,Brazil,2014,982.126,1262.905,1154.259,1262.905,982.126,280.779
BRN,Brunei Darussalam,2014,2287.609,2448.878,2395.805,2448.878,2287.609,161.269
KHM,Cambodia,2014,205.124,286.01,255.392,286.01,205.124,80.886
ECU,Ecuador,2014,907.403,1005.673,967.368,1005.673,907.403,98.27
SLV,El Salvador,2014,628.395,621.295,624.343,621.295,628.395,-7.1
FRA,France,2014,2703.014,3232.294,3044.116,3232.294,2703.014,529.28
GTM,Guatemala,2014,592.763,749.712,686.399,749.712,592.763,156.949
ITA,Italy,2014,1951.252,2270.972,2156.04,2270.972,1951.252,319.72
MUS,Mauritius,2014,832.858,1079.446,1002.968,1079.446,832.858,246.588
MEX,Mexico,2014,604.169,744.495,691.367,744.495,604.169,140.326
MNG,Mongolia,2014,310.908,420.793,366.69,420.793,310.908,109.885
PAK,Pakistan,2014,200.927,288.685,271.8,288.685,200.927,87.758
PAN,Panama,2014,1087.314,1347.105,1235.328,1347.105,1087.314,259.791
PRT,Portugal,2014,1451.424,1608.138,1542.953,1608.138,1451.424,156.714
LKA,Sri Lanka,2014,225.368,285.213,259.564,285.213,225.368,59.845
CHE,Switzerland,2014,6630.917,11062.702,9202.828,11062.702,6630.917,4431.785
THA,Thailand,2014,707.41,817.483,773.967,817.483,707.41,110.073
TUR,Turkiye,2014,1109.948,1221.772,1184.719,1221.772,1109.948,111.824
UGA,Uganda,2014,564.481,1146.059,973.486,1146.059,564.481,581.578
GBR,United Kingdom of Great Britain and Northern Ireland,2014,3065.261,4458.996,3882.748,4458.996,3065.261,1393.735
USA,United States of America,2014,4346.023,5835.338,5118.413,5835.338,4346.023,1489.315
URY,Uruguay,2014,1321.054,1819.474,1579.649,1819.474,1321.054,498.42
VNM,Viet Nam,2014,248.6,309.661,281.843,309.661,248.6,61.061
BOL,Bolivia (Plurinational State of),2015,524.461,617.173,580.129,617.173,524.461,92.712
BIH,Bosnia and Herzegovina,2015,506.503,555.621,533.869,555.621,506.503,49.118
BRA,Brazil,2015,735.42,931.077,848.986,931.077,735.42,195.657
KHM,Cambodia,2015,168.624,287.373,249.938,287.373,168.624,118.749
DOM,Dominican Republic,2015,452.758,543.914,502.383,543.914,452.758,91.156
ECU,Ecuador,2015,909.372,1024.366,977.74,1024.366,909.372,114.994
EGY,Egypt,2015,235.523,294.681,276.865,294.681,235.523,59.158
SLV,El Salvador,2015,660.207,668.434,664.772,668.434,660.207,8.227
FRA,France,2015,2248.377,2702.532,2540.834,2702.532,2248.377,454.155
GHA,Ghana,2015,269.346,366.849,308.766,366.849,269.346,97.503
GRC,Greece,2015,1121.278,1366.644,1253.946,1366.644,1121.278,245.366
GTM,Guatemala,2015,514.875,668.862,605.636,668.862,514.875,153.987
HND,Honduras,2015,544.662,608.381,581.703,608.381,544.662,63.719
ITA,Italy,2015,1658.071,1921.322,1823.108,1921.322,1658.071,263.251
MUS,Mauritius,2015,719.085,978.028,894.73,978.028,719.085,258.943
MEX,Mexico,2015,527.492,658.466,609.878,658.466,527.492,130.974
MNG,Mongolia,2015,295.009,387.506,339.81,387.506,295.009,92.497
MMR,Myanmar,2015,123.997,175.859,153.414,175.859,123.997,51.862
PAK,Pakistan,2015,198.145,294.958,279.908,294.958,198.145,96.813
PRT,Portugal,2015,1229.482,1328.8,1286.109,1328.8,1229.482,99.318
LKA,Sri Lanka,2015,281.817,330.907,309.238,330.907,281.817,49.09
CHE,Switzerland,2015,5759.982,9237.473,7781.243,9237.473,5759.982,3477.491
THA,Thailand,2015,539.397,612.527,583.152,612.527,539.397,73.13
TUR,Turkiye,2015,940.79,1053.288,1014.614,1053.288,940.79,112.498
GBR,United Kingdom of Great Britain and Northern Ireland,2015,2628.937,3775.066,3293.767,3775.066,2628.937,1146.129
USA,United States of America,2015,4416.939,6053.108,5259.862,6053.108,4416.939,1636.169
URY,Uruguay,2015,1224.101,1677.257,1465.88,1677.257,1224.101,453.156
VNM,Viet Nam,2015,263.931,356.915,314.684,356.915,263.931,92.984
BRB,Barbados,2016,1825.63,2004.922,1920.889,2004.922,1825.63,179.292
BOL,Bolivia (Plurinational State of),2016,506.455,646.455,589.536,646.455,506.455,140
BIH,Bosnia and Herzegovina,2016,469.966,532.533,505.099,532.533,469.966,62.567
BRA,Brazil,2016,777.907,1034.274,916.854,1034.274,777.907,256.367
KHM,Cambodia,2016,206.187,346.738,276.192,346.738,206.187,140.551
DOM,Dominican Republic,2016,439.188,536.435,487.318,536.435,439.188,97.247
ECU,Ecuador,2016,859.694,1018.748,955.238,1018.748,859.694,159.054
EGY,Egypt,2016,188.001,239.053,224.42,239.053,188.001,51.052
SLV,El Salvador,2016,564.6,556.864,560.053,556.864,564.6,-7.736
SWZ,Eswatini,2016,620.48,527.595,567.597,527.595,620.48,-92.885
FRA,France,2016,2305.932,2695.358,2554.615,2695.358,2305.932,389.426
GRC,Greece,2016,1122.461,1378.908,1260.783,1378.908,1122.461,256.447
GTM,Guatemala,2016,601.316,784.676,709.176,784.676,601.316,183.36
HND,Honduras,2016,539.848,574.901,560.345,574.901,539.848,35.053
ITA,Italy,2016,1674.784,1913.967,1827.975,1913.967,1674.784,239.183
MDV,Maldives,2016,826.326,991.037,932.46,991.037,826.326,164.711
MUS,Mauritius,2016,704.189,965.302,892.828,965.302,704.189,261.113
MEX,Mexico,2016,454.8,568.39,525.807,568.39,454.8,113.59
MNG,Mongolia,2016,280.557,345.55,311.238,345.55,280.557,64.993
PAK,Pakistan,2016,233.187,322.979,303.042,322.979,233.187,89.792
PRT,Portugal,2016,1202.407,1327.04,1273.036,1327.04,1202.407,124.633
LKA,Sri Lanka,2016,275.153,376.063,332.523,376.063,275.153,100.91
SUR,Suriname,2016,420.599,552.974,497.518,552.974,420.599,132.375
CHE,Switzerland,2016,5703.171,9025.559,7656.065,9025.559,5703.171,3322.388
THA,Thailand,2016,698.956,792.9,753.306,792.9,698.956,93.944
TLS,Timor-Leste,2016,650,295.332,418.209,295.332,650,-354.668
TUR,Turkiye,2016,978.988,1035.324,1015.507,1035.324,978.988,56.336
GBR,United Kingdom of Great Britain and Northern Ireland,2016,2625.3,3736.874,3269.306,3736.874,2625.3,1111.574
USA,United States of America,2016,4596.524,6219.835,5431.415,6219.835,4596.524,1623.311
URY,Uruguay,2016,1162.88,1468.443,1316.167,1468.443,1162.88,305.563
VNM,Viet Nam,2016,274.914,383.817,334.839,383.817,274.914,108.903
ARG,Argentina,2017,1141.913,1435.698,1302.861,1435.698,1141.913,293.785
BGD,Bangladesh,2017,263.527,274.902,271.893,274.902,263.527,11.375
BOL,Bolivia (Plurinational State of),2017,515.754,674.191,605.061,674.191,515.754,158.437
BRA,Brazil,2017,892.527,1233.191,1074.614,1233.191,892.527,340.664
CRI,Costa Rica,2017,2005.376,1714.301,1813.777,1714.301,2005.376,-291.075
CIV,C?te d'Ivoire,2017,298.412,400.301,374.728,400.301,298.412,101.889
DOM,Dominican Republic,2017,493.031,570.416,527.812,570.416,493.031,77.385
ECU,Ecuador,2017,919.126,1020.347,978.538,1020.347,919.126,101.221
EGY,Egypt,2017,119.488,144.499,136.958,144.499,119.488,25.011
SLV,El Salvador,2017,620.546,618.401,619.284,618.401,620.546,-2.145
FRA,France,2017,2386.282,2787.902,2643.596,2787.902,2386.282,401.62
GHA,Ghana,2017,224.33,342.682,293.483,342.682,224.33,118.352
GRC,Greece,2017,1137.944,1432.57,1298.076,1432.57,1137.944,294.626
GTM,Guatemala,2017,569.821,805.571,695.828,805.571,569.821,235.75
HND,Honduras,2017,488.127,667.074,589.589,667.074,488.127,178.947
ITA,Italy,2017,1708.837,1939.396,1853.336,1939.396,1708.837,230.559
JOR,Jordan,2017,615.156,772.236,718.835,772.236,615.156,157.08
LAO,Lao People's Democratic Republic,2017,197.046,291.556,243.017,291.556,197.046,94.51
LBR,Liberia,2017,545.693,767.417,673.276,767.417,545.693,221.724
MUS,Mauritius,2017,765.573,1112.672,1011.845,1112.672,765.573,347.099
MEX,Mexico,2017,466.329,572.367,533.179,572.367,466.329,106.038
MNG,Mongolia,2017,233.213,319.304,272.362,319.304,233.213,86.091
MMR,Myanmar,2017,166.573,280.817,220.625,280.817,166.573,114.244
NPL,Nepal,2017,205.79,291.542,257.866,291.542,205.79,85.752
PHL,Philippines,2017,401.353,462.249,435.743,462.249,401.353,60.896
PRT,Portugal,2017,1243.409,1387.151,1321.202,1387.151,1243.409,143.742
RWA,Rwanda,2017,245.23,360.764,312.325,360.764,245.23,115.534
WSM,Samoa,2017,679.126,650.773,663.035,650.773,679.126,-28.353
LKA,Sri Lanka,2017,274.295,345.612,315.318,345.612,274.295,71.317
CHE,Switzerland,2017,5750.466,9311.952,7818.894,9311.952,5750.466,3561.486
THA,Thailand,2017,720.348,836.07,785.595,836.07,720.348,115.722
TGO,Togo,2017,179.963,295.203,272.926,295.203,179.963,115.24
TUR,Turkiye,2017,870.249,904.668,892.679,904.668,870.249,34.419
UGA,Uganda,2017,142.124,391.412,291.526,391.412,142.124,249.288
GBR,United Kingdom of Great Britain and Northern Ireland,2017,2728.487,3989.256,3453.105,3989.256,2728.487,1260.769
USA,United States of America,2017,4730.096,6324.79,5549.145,6324.79,4730.096,1594.694
URY,Uruguay,2017,1415.279,1901.528,1661.878,1901.528,1415.279,486.249
VNM,Viet Nam,2017,259.011,357.651,313.628,357.651,259.011,98.64
ZMB,Zambia,2017,950.164,662.517,760.601,662.517,950.164,-287.647
ARG,Argentina,2018,844.916,1087.485,980.417,1087.485,844.916,242.569
BTN,Bhutan,2018,250.378,300.8,286.373,300.8,250.378,50.422
BOL,Bolivia (Plurinational State of),2018,565.43,694.564,636.889,694.564,565.43,129.134
BRA,Brazil,2018,832.403,1146.889,999.347,1146.889,832.403,314.486
BFA,Burkina Faso,2018,224.622,314.628,291.123,314.628,224.622,90.006
CRI,Costa Rica,2018,1905.906,1986.305,1958.099,1986.305,1905.906,80.399
DOM,Dominican Republic,2018,499.454,606.986,550.931,606.986,499.454,107.532
ECU,Ecuador,2018,915.067,989.407,958.141,989.407,915.067,74.34
EGY,Egypt,2018,120.609,153.767,143.19,153.767,120.609,33.158
SLV,El Salvador,2018,595.882,637.519,619.269,637.519,595.882,41.637
FRA,France,2018,2509.43,2980.582,2811.261,2980.582,2509.43,471.152
GRC,Greece,2018,1184.134,1484.006,1346.811,1484.006,1184.134,299.872
GTM,Guatemala,2018,595.562,797.292,713.842,797.292,595.562,201.73
GUY,Guyana,2018,414.887,533.662,476.786,533.662,414.887,118.775
HND,Honduras,2018,557.399,656.142,606.789,656.142,557.399,98.743
ITA,Italy,2018,1786.001,2061.066,1961.351,2061.066,1786.001,275.065
JOR,Jordan,2018,590.602,684.054,653.017,684.054,590.602,93.452
MUS,Mauritius,2018,830.169,1074.299,997.037,1074.299,830.169,244.13
MEX,Mexico,2018,482.259,582.983,544.363,582.983,482.259,100.724
MNG,Mongolia,2018,244.312,339.991,287.376,339.991,244.312,95.679
MMR,Myanmar,2018,170.323,236.942,204.001,236.942,170.323,66.619
PAK,Pakistan,2018,218.453,301.017,284.493,301.017,218.453,82.564
PHL,Philippines,2018,390.069,466.466,433.978,466.466,390.069,76.397
PRT,Portugal,2018,1327.447,1460.936,1401.364,1460.936,1327.447,133.489
LKA,Sri Lanka,2018,260.933,313.454,293.369,313.454,260.933,52.521
CHE,Switzerland,2018,6159.85,9792.284,8242.598,9792.284,6159.85,3632.434
THA,Thailand,2018,784.246,866.598,831.369,866.598,784.246,82.352
TON,Tonga,2018,810.17,701.194,743.338,701.194,810.17,-108.976
TUR,Turkiye,2018,743.678,789.954,773.439,789.954,743.678,46.276
GBR,United Kingdom of Great Britain and Northern Ireland,2018,2945.823,4206.526,3687.131,4206.526,2945.823,1260.703
USA,United States of America,2018,4812.668,6416.439,5645.08,6416.439,4812.668,1603.771
URY,Uruguay,2018,1446.193,1853.535,1655.056,1853.535,1446.193,407.342
VNM,Viet Nam,2018,269.385,379.928,330.741,379.928,269.385,110.543
ZMB,Zambia,2018,549.096,607.746,591.538,607.746,549.096,58.65
AGO,Angola,2019,246.647,337.856,307.794,337.856,246.647,91.209
ARG,Argentina,2019,695.079,863.935,788.683,863.935,695.079,168.856
BHS,Bahamas,2019,5371.31,6318.339,5880.585,6318.339,5371.31,947.029
BTN,Bhutan,2019,339.433,330.535,333.26,330.535,339.433,-8.898
BOL,Bolivia (Plurinational State of),2019,555.867,700.854,634.761,700.854,555.867,144.987
BWA,Botswana,2019,1171.266,1491.203,1355.238,1491.203,1171.266,319.937
BRA,Brazil,2019,830.554,1127.03,988.54,1127.03,830.554,296.476
KHM,Cambodia,2019,342.844,380.186,366.571,380.186,342.844,37.342
CRI,Costa Rica,2019,2145.35,2211.087,2187.899,2211.087,2145.35,65.737
CIV,C?te d'Ivoire,2019,292.054,432.437,388.926,432.437,292.054,140.383
DOM,Dominican Republic,2019,508.508,616.554,554.109,616.554,508.508,108.046
ECU,Ecuador,2019,884.504,992.667,946.298,992.667,884.504,108.163
EGY,Egypt,2019,138.314,174.776,164.014,174.776,138.314,36.462
SLV,El Salvador,2019,629.33,689.5,663.601,689.5,629.33,60.17
FRA,France,2019,2463.789,2862.887,2716.674,2862.887,2463.789,399.098
GRC,Greece,2019,1101.971,1410.515,1267.135,1410.515,1101.971,308.544
GTM,Guatemala,2019,608.064,774.948,700.336,774.948,608.064,166.884
GUY,Guyana,2019,454.597,591.327,528.958,591.327,454.597,136.73
HND,Honduras,2019,446.092,705.213,591.996,705.213,446.092,259.121
ITA,Italy,2019,1716.554,1985.774,1887.425,1985.774,1716.554,269.22
JOR,Jordan,2019,587.303,668.609,642.605,668.609,587.303,81.306
KEN,Kenya,2019,415.44,302.541,340.448,302.541,415.44,-112.899
KIR,Kiribati,2019,428.123,539.441,488.981,539.441,428.123,111.318
LBN,Lebanon,2019,935.672,1366.928,1178.438,1366.928,935.672,431.256
LSO,Lesotho,2019,479.492,615.461,540.564,615.461,479.492,135.969
MDV,Maldives,2019,902.646,963.666,942.795,963.666,902.646,61.02
MHL,Marshall Islands,2019,982.075,1018.495,1006.951,1018.495,982.075,36.42
MEX,Mexico,2019,493.667,606.513,563.282,606.513,493.667,112.846
MNG,Mongolia,2019,307.895,409.88,358.786,409.88,307.895,101.985
MMR,Myanmar,2019,157.193,241.614,203.512,241.614,157.193,84.421
NGA,Nigeria,2019,202.333,302.955,258.609,302.955,202.333,100.622
PAK,Pakistan,2019,228.09,294.343,280.828,294.343,228.09,66.253
PHL,Philippines,2019,453.2,506.928,483.328,506.928,453.2,53.728
PRT,Portugal,2019,1257.301,1414.669,1348.25,1414.669,1257.301,157.368
SEN,Senegal,2019,260.534,371.759,313.005,371.759,260.534,111.225
LKA,Sri Lanka,2019,264.068,345.773,311.615,345.773,264.068,81.705
CHE,Switzerland,2019,5883.905,9224.755,7805.846,9224.755,5883.905,3340.85
THA,Thailand,2019,832.846,912.009,878.74,912.009,832.846,79.163
TUN,Tunisia,2019,338.051,402.989,373.045,402.989,338.051,64.938
TUR,Turkiye,2019,733.843,807.182,781.055,807.182,733.843,73.339
UGA,Uganda,2019,239.617,289.73,270.616,289.73,239.617,50.113
USA,United States of America,2019,5005.44,6652.062,5853.417,6652.062,5005.44,1646.622
URY,Uruguay,2019,1302.113,1749.03,1529.801,1749.03,1302.113,446.917
VNM,Viet Nam,2019,303.94,435.091,380.942,435.091,303.94,131.151
ZMB,Zambia,2019,598.362,568.263,578.339,568.263,598.362,-30.099
ARG,Argentina,2020,615.7,783.092,702.381,783.092,615.7,167.392
BTN,Bhutan,2020,339.654,351.405,348.175,351.405,339.654,11.751
BOL,Bolivia (Plurinational State of),2020,622.174,747.556,691.474,747.556,622.174,125.382
BIH,Bosnia and Herzegovina,2020,856.678,883.549,871.777,883.549,856.678,26.871
BWA,Botswana,2020,1168.099,1357.476,1275.695,1357.476,1168.099,189.377
BRA,Brazil,2020,663.799,887.34,780.492,887.34,663.799,223.541
BDI,Burundi,2020,619.744,715.723,688.111,715.723,619.744,95.979
KHM,Cambodia,2020,313.654,485.868,412.946,485.868,313.654,172.214
CHL,Chile,2020,1337.338,1917.86,1663.287,1917.86,1337.338,580.522
CRI,Costa Rica,2020,1878.33,2237.778,2120.223,2237.778,1878.33,359.448
DOM,Dominican Republic,2020,492.586,647.658,567.715,647.658,492.586,155.072
ECU,Ecuador,2020,851.285,960.001,911.384,960.001,851.285,108.716
EGY,Egypt,2020,168.549,206.172,195.186,206.172,168.549,37.623
FRA,France,2020,2536.458,2997.334,2827.765,2997.334,2536.458,460.876
GRC,Greece,2020,1137.426,1520.721,1335.708,1520.721,1137.426,383.295
HND,Honduras,2020,895.31,903.388,899.926,903.388,895.31,8.078
ITA,Italy,2020,1777.532,2019.415,1929.641,2019.415,1777.532,241.883
JOR,Jordan,2020,595.946,685.671,653.166,685.671,595.946,89.725
MEX,Mexico,2020,467.478,575.526,532.65,575.526,467.478,108.048
MNG,Mongolia,2020,282.219,422.31,343.124,422.31,282.219,140.091
MMR,Myanmar,2020,190.795,278.055,232.285,278.055,190.795,87.26
PAK,Pakistan,2020,231.544,280.288,271.702,280.288,231.544,48.744
PHL,Philippines,2020,497.74,533.702,518.212,533.702,497.74,35.962
PRT,Portugal,2020,1356.462,1499.54,1434.182,1499.54,1356.462,143.078
LKA,Sri Lanka,2020,259.26,323.26,298.217,323.26,259.26,64
CHE,Switzerland,2020,6013.992,9491.343,7989.66,9491.343,6013.992,3477.351
TZA,"Tanzania, United Republic of",2020,436.558,539.032,508.228,539.032,436.558,102.474
THA,Thailand,2020,850.784,912.607,886.948,912.607,850.784,61.823
TUR,Turkiye,2020,671.744,753.076,724.201,753.076,671.744,81.332
GBR,United Kingdom of Great Britain and Northern Ireland,2020,3151.452,4250.655,3795.843,4250.655,3151.452,1099.203
USA,United States of America,2020,4648.444,6747.816,5642.382,6747.816,4648.444,2099.372
URY,Uruguay,2020,1209.876,1585.484,1402.046,1585.484,1209.876,375.608
VNM,Viet Nam,2020,309.046,452.853,392.576,452.853,309.046,143.807
ZMB,Zambia,2020,331.984,367.744,354.881,367.744,331.984,35.76
AGO,Angola,2021,198.444,222.739,214.887,222.739,198.444,24.295
ARG,Argentina,2021,665.272,902.199,803.154,902.199,665.272,236.927
BTN,Bhutan,2021,371.488,374.045,373.287,374.045,371.488,2.557
BOL,Bolivia (Plurinational State of),2021,579.768,662.341,624.057,662.341,579.768,82.573
BIH,Bosnia and Herzegovina,2021,961.419,985.544,975.414,985.544,961.419,24.125
BWA,Botswana,2021,1154.344,1387.379,1267.101,1387.379,1154.344,233.035
BRA,Brazil,2021,630.682,824.012,734.199,824.012,630.682,193.33
KHM,Cambodia,2021,329.585,529.028,430.342,529.028,329.585,199.443
COL,Colombia,2021,437.163,407.997,417.645,407.997,437.163,-29.166
CRI,Costa Rica,2021,1766.314,1879.948,1843.223,1879.948,1766.314,113.634
DOM,Dominican Republic,2021,541.474,666.553,596.262,666.553,541.474,125.079
ECU,Ecuador,2021,871.134,977.11,930.58,977.11,871.134,105.976
EGY,Egypt,2021,184.526,219.201,208.279,219.201,184.526,34.675
SLV,El Salvador,2021,656.652,485.873,546.83,485.873,656.652,-170.779
SWZ,Eswatini,2021,692.058,724.745,709.917,724.745,692.058,32.687
ETH,Ethiopia,2021,135.934,187.929,167.052,187.929,135.934,51.995
GTM,Guatemala,2021,648.161,787.293,733.519,787.293,648.161,139.132
JOR,Jordan,2021,611.06,724.152,685.619,724.152,611.06,113.092
MEX,Mexico,2021,554.707,655.661,616.087,655.661,554.707,100.954
MNG,Mongolia,2021,302.027,437.727,369.594,437.727,302.027,135.7
PAK,Pakistan,2021,263.892,289.111,283.069,289.111,263.892,25.219
PHL,Philippines,2021,508.9,546.168,529.802,546.168,508.9,37.268
PRT,Portugal,2021,1478.105,1616.771,1553.378,1616.771,1478.105,138.666
RWA,Rwanda,2021,217.684,242.821,232.145,242.821,217.684,25.137
LKA,Sri Lanka,2021,283.563,358.628,327.973,358.628,283.563,75.065
CHE,Switzerland,2021,6309.858,9824.553,8296.297,9824.553,6309.858,3514.695
THA,Thailand,2021,811.14,909.877,865.632,909.877,811.14,98.737
TLS,Timor-Leste,2021,294.095,348.368,334.134,348.368,294.095,54.273
TON,Tonga,2021,544.532,562.309,556.633,562.309,544.532,17.777
TUR,Turkiye,2021,605.364,688.896,658.616,688.896,605.364,83.532
UGA,Uganda,2021,342.693,554.866,467.11,554.866,342.693,212.173
