iso_a3,country,year,Female,Male,Total,male_avg,female_avg,gap
GBR,United Kingdom of Great Britain and Northern Ireland,2021,3257.15,4285.631,3862.268,4285.631,3257.15,1028.481
USA,United States of America,2021,4843.485,6826.407,5784.185,6826.407,4843.485,1982.922
VNM,Viet Nam,2021,318.473,448.075,391.808,448.075,318.473,129.602
ZMB,Zambia,2021,271.457,321.242,305.539,321.242,271.457,49.785
ZWE,Zimbabwe,2021,311.278,312.586,312.102,312.586,311.278,1.308
ARG,Argentina,2022,830.095,1129.157,988.062,1129.157,830.095,299.062
BGD,Bangladesh,2022,230.369,264.882,257.623,264.882,230.369,34.513
BEN,Benin,2022,205.951,249.143,235.308,249.143,205.951,43.192
BTN,Bhutan,2022,366.044,376.72,373.131,376.72,366.044,10.676
BOL,Bolivia (Plurinational State of),2022,575.018,639.28,609.504,639.28,575.018,64.262
BIH,Bosnia and Herzegovina,2022,905.827,912.605,909.63,912.605,905.827,6.778
BWA,Botswana,2022,1246.238,1411.255,1342.097,1411.255,1246.238,165.017
BRA,Brazil,2022,711.349,974.963,850.409,974.963,711.349,263.614
BFA,Burkina Faso,2022,210.043,300.908,257.927,300.908,210.043,90.865
COL,Colombia,2022,613.596,682.402,656.935,682.402,613.596,68.806
CRI,Costa Rica,2022,1562.925,1670.141,1631.502,1670.141,1562.925,107.216
DOM,Dominican Republic,2022,617.812,688.467,649.718,688.467,617.812,70.655
ECU,Ecuador,2022,850.125,961.974,913.453,961.974,850.125,111.849
EGY,Egypt,2022,168.674,196.397,188.067,196.397,168.674,27.723
SLV,El Salvador,2022,664.122,428.245,487.907,428.245,664.122,-235.877
GTM,Guatemala,2022,634.391,868.012,774.867,868.012,634.391,233.621
GNB,Guinea-Bissau,2022,167.351,199.407,187.503,199.407,167.351,32.056
HND,Honduras,2022,620.923,688.746,653.456,688.746,620.923,67.823
IND,India,2022,298.352,463.818,412.129,463.818,298.352,165.466
LAO,Lao People's Democratic Republic,2022,190.924,273.694,227.841,273.694,190.924,82.77
MLI,Mali,2022,141.715,264.299,223.622,264.299,141.715,122.584
MEX,Mexico,2022,593.062,680.53,646.985,680.53,593.062,87.468
MNG,Mongolia,2022,328.701,509.511,417.101,509.511,328.701,180.81
PER,Peru,2022,643.744,784.192,724.681,784.192,643.744,140.448
PHL,Philippines,2022,483.623,531.478,510.394,531.478,483.623,47.855
PRT,Portugal,2022,1343.086,1485.143,1419.631,1485.143,1343.086,142.057
RWA,Rwanda,2022,181.94,203.686,195.101,203.686,181.94,21.746
WSM,Samoa,2022,853.889,728.172,768.077,728.172,853.889,-125.717
SEN,Senegal,2022,158.747,306.262,256.381,306.262,158.747,147.515
LKA,Sri Lanka,2022,199.35,228.167,216.173,228.167,199.35,28.817
SDN,Sudan,2022,103.952,219.826,176.401,219.826,103.952,115.874
CHE,Switzerland,2022,5687.849,8760.887,7448.09,8760.887,5687.849,3073.038
THA,Thailand,2022,791.175,849.55,824.116,849.55,791.175,58.375
TGO,Togo,2022,208.951,266.271,248.576,266.271,208.951,57.32
TUR,Turkiye,2022,569.955,643.169,615.098,643.169,569.955,73.214
GBR,United Kingdom of Great Britain and Northern Ireland,2022,3098.767,4199.582,3758.316,4199.582,3098.767,1100.815
USA,United States of America,2022,5124.059,7145.964,6076.457,7145.964,5124.059,2021.905
URY,Uruguay,2022,1420.562,1775.257,1600.175,1775.257,1420.562,354.695
VNM,Viet Nam,2022,346.098,478.042,422.477,478.042,346.098,131.944
ZMB,Zambia,2022,455.405,416.637,427.827,416.637,455.405,-38.768
ZWE,Zimbabwe,2022,154.284,171.928,164.583,171.928,154.284,17.644
ARG,Argentina,2023,804.57,1049.141,936.893,1049.141,804.57,244.571
BGD,Bangladesh,2023,225.519,231.386,230.168,231.386,225.519,5.867
BTN,Bhutan,2023,420.052,451.684,445.257,451.684,420.052,31.632
BOL,Bolivia (Plurinational State of),2023,590.375,669,633.285,669,590.375,78.625
BIH,Bosnia and Herzegovina,2023,992.621,1013.95,1004.972,1013.95,992.621,21.329
BWA,Botswana,2023,1140.775,1437.177,1310.552,1437.177,1140.775,296.402
BRA,Brazil,2023,801.209,1116.733,965.817,1116.733,801.209,315.524
BFA,Burkina Faso,2023,212.912,344.074,311.032,344.074,212.912,131.162
KHM,Cambodia,2023,374.231,530.778,467.608,530.778,374.231,156.547
COL,Colombia,2023,659.39,707.581,689.799,707.581,659.39,48.191
CRI,Costa Rica,2023,1876.502,2009.436,1968.288,2009.436,1876.502,132.934
DOM,Dominican Republic,2023,630.799,855.014,733.874,855.014,630.799,224.215
ECU,Ecuador,2023,877.834,947.494,918.07,947.494,877.834,69.66
EGY,Egypt,2023,125.232,144.775,138.742,144.775,125.232,19.543
SLV,El Salvador,2023,722.605,611.32,655.798,611.32,722.605,-111.285
GTM,Guatemala,2023,669.307,753.242,718.478,753.242,669.307,83.935
HND,Honduras,2023,652.009,787.741,732.921,787.741,652.009,135.732
IND,India,2023,305.068,467.639,415.651,467.639,305.068,162.571
IDN,Indonesia,2023,247.138,368.962,320.335,368.962,247.138,121.824
JOR,Jordan,2023,650.749,758.336,720.593,758.336,650.749,107.587
KIR,Kiribati,2023,539.658,519.042,527.541,519.042,539.658,-20.616
MEX,Mexico,2023,730.83,891.962,830.931,891.962,730.83,161.132
MNG,Mongolia,2023,337.927,524.987,443.493,524.987,337.927,187.06
PAN,Panama,2023,1534.947,1787.054,1660.542,1787.054,1534.947,252.107
PER,Peru,2023,716.576,892.742,816.418,892.742,716.576,176.166
PHL,Philippines,2023,491.214,543.187,520.493,543.187,491.214,51.973
PRT,Portugal,2023,1411.562,1572.89,1503.088,1572.89,1411.562,161.328
RWA,Rwanda,2023,222.757,264.898,251.158,264.898,222.757,42.141
SEN,Senegal,2023,134.68,459.045,358.067,459.045,134.68,324.365
CHE,Switzerland,2023,6122.147,9195.019,7844.442,9195.019,6122.147,3072.872
THA,Thailand,2023,792.255,861.622,829.563,861.622,792.255,69.367
TON,Tonga,2023,644.843,795.609,739.326,795.609,644.843,150.766
TUR,Turkiye,2023,858.24,973.68,929.202,973.68,858.24,115.44
GBR,United Kingdom of Great Britain and Northern Ireland,2023,3400.605,4451.169,4040.651,4451.169,3400.605,1050.564
USA,United States of America,2023,5599.23,8088.176,6797.184,8088.176,5599.23,2488.946
URY,Uruguay,2023,1567.762,2126.666,1846.973,2126.666,1567.762,558.904
VNM,Viet Nam,2023,362.15,497.544,443.076,497.544,362.15,135.394
ZMB,Zambia,2023,309.278,364.488,346.105,364.488,309.278,55.21
ZWE,Zimbabwe,2023,185.39,183.724,184.487,183.724,185.39,-1.666
ARG,Argentina,2024,787.628,1140.406,972.44,1140.406,787.628,352.778
BGD,Bangladesh,2024,220.041,240.797,236.343,240.797,220.041,20.756
BTN,Bhutan,2024,433.106,455.562,449.941,455.562,433.106,22.456
BOL,Bolivia (Plurinational State of),2024,615.582,702.619,662.455,702.619,615.582,87.037
BWA,Botswana,2024,1536.584,1320.258,1407.878,1320.258,1536.584,-216.326
BRA,Brazil,2024,834.578,1123.64,985.381,1123.64,834.578,289.062
COL,Colombia,2024,805.264,863.942,842.359,863.942,805.264,58.678
CRI,Costa Rica,2024,2071.148,2195.468,2148.256,2195.468,2071.148,124.32
DOM,Dominican Republic,2024,636.97,777.145,707.882,777.145,636.97,140.175
ECU,Ecuador,2024,883.582,966.784,935.249,966.784,883.582,83.202
FJI,Fiji,2024,820.303,882.108,857.166,882.108,820.303,61.805
HND,Honduras,2024,727.021,728.49,727.823,728.49,727.021,1.469
IND,India,2024,323.808,480.048,431.919,480.048,323.808,156.24
LSO,Lesotho,2024,323.066,440.174,377.407,440.174,323.066,117.108
MEX,Mexico,2024,796.136,943.884,885.604,943.884,796.136,147.748
PAN,Panama,2024,1621.69,1623.673,1622.667,1623.673,1621.69,1.983
PER,Peru,2024,765.356,941.762,868.688,941.762,765.356,176.406
PRT,Portugal,2024,1559.383,1757.945,1673.716,1757.945,1559.383,198.562
SEN,Senegal,2024,770.33,626.504,672.852,626.504,770.33,-143.826
CHE,Switzerland,2024,6338.096,9275.503,8015.737,9275.503,6338.096,2937.407
THA,Thailand,2024,764.749,864.891,818.019,864.891,764.749,100.142
TUR,Turkiye,2024,1253.324,1398.761,1342.121,1398.761,1253.324,145.437
GBR,United Kingdom of Great Britain and Northern Ireland,2024,3466.378,4715.418,4168.654,4715.418,3466.378,1249.04
USA,United States of America,2024,6216.524,9559.254,7776.628,9559.254,6216.524,3342.73
URY,Uruguay,2024,1613.889,2166.799,1906.647,2166.799,1613.889,552.91
